Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Acanthogilia gloriosa KANU00172801,Acanthogilia gloriosa,1,3.552,0.393,,,,,
Acanthogilia gloriosa KANU00172802,Acanthogilia gloriosa,1,3.696,0.455,,,,,
Acanthogilia gloriosa KANU00172802,Acanthogilia gloriosa,2,2.66,0.37,,,,,
Acanthogilia gloriosa KANU00172802,Acanthogilia gloriosa,3,2.874,0.375,,,,,
,Acanthogilia gloriosa,,,,3.1955,0.505870536797705,0.39825,0.0391013640000789,8.02385436283742
Aliciella caespitosa KSC0126229,Aliciella caespitosa,1,1.652,0.241,,,,,
Aliciella caespitosa KSC0126229,Aliciella caespitosa,2,1.664,0.148,,,,,
Aliciella caespitosa KSC0126229,Aliciella caespitosa,3,1.885,0.201,,,,,
,Aliciella caespitosa,,,,1.73366666666667,0.131195782452537,0.196666666666667,0.0466511879091338,8.81525423728813
Aliciella formosa MO275448,Aliciella formosa,1,1.97,0.201,,,,,
Aliciella formosa MO275448,Aliciella formosa,2,2.124,0.286,,,,,
Aliciella formosa MO275448,Aliciella formosa,3,2.052,0.23,,,,,
Aliciella formosa UNM75389,Aliciella formosa,1,2.216,0.309,,,,,
Aliciella formosa UNM75389,Aliciella formosa,2,2.03,0.248,,,,,
Aliciella formosa UNM75389,Aliciella formosa,3,2.161,0.29,,,,,
Aliciella formosa UNM82540,Aliciella formosa,1,2.088,0.386,,,,,
Aliciella formosa UNM82540,Aliciella formosa,2,2.172,0.35,,,,,
Aliciella formosa UNM82540,Aliciella formosa,3,2.239,0.375,,,,,
,Aliciella formosa,,,,2.11688888888889,0.0894000062142678,0.297222222222222,0.0644530406144226,7.1222429906542
Aliciella haydenii MO2469494,Aliciella haydenii,1,1.202,0.11,,,,,
Aliciella haydenii MO2469494,Aliciella haydenii,2,1.251,0.13,,,,,
Aliciella haydenii MO2469494,Aliciella haydenii,3,1.201,0.123,,,,,
Aliciella haydenii MO247137,Aliciella haydenii,1,1.715,0.159,,,,,
Aliciella haydenii MO247137,Aliciella haydenii,2,1.905,0.192,,,,,
Aliciella haydenii MO247137,Aliciella haydenii,3,1.721,0.253,,,,,
Aliciella haydenii MO3495732,Aliciella haydenii,1,2.195,0.233,,,,,
Aliciella haydenii MO3495732,Aliciella haydenii,2,2.153,0.319,,,,,
Aliciella haydenii MO3495732,Aliciella haydenii,3,2.214,0.292,,,,,
Aliciella haydenii MO4390782,Aliciella haydenii,1,1.061,0.124,,,,,
Aliciella haydenii MO4390782,Aliciella haydenii,2,1.109,0.221,,,,,
Aliciella haydenii MO4390782,Aliciella haydenii,3,1.148,0.188,,,,,
Aliciella haydenii RMH715060,Aliciella haydenii,1,1.673,0.238,,,,,
Aliciella haydenii RMH715060,Aliciella haydenii,2,1.604,0.321,,,,,
Aliciella haydenii RMH715060,Aliciella haydenii,3,1.563,0.239,,,,,
,Aliciella haydenii,,,,1.581,0.408335646251953,0.209466666666667,0.0706195710092026,7.54774029280713
Aliciella heterostyla KANU363717,Aliciella heterostyla,1,0.761,0.184,,,,,
Aliciella heterostyla KANU363717,Aliciella heterostyla,2,0.905,0.12,,,,,
Aliciella heterostyla KANU363717,Aliciella heterostyla,3,0.949,0.141,,,,,
Aliciella heterostyla KANU365799,Aliciella heterostyla,1,1.115,0.131,,,,,
Aliciella heterostyla KANU365799,Aliciella heterostyla,2,1.452,0.124,,,,,
Aliciella heterostyla KANU365799,Aliciella heterostyla,3,1.467,0.168,,,,,
,Aliciella heterostyla,,,,1.10816666666667,0.294674340020754,0.144666666666667,0.0257966406081618,7.66013824884793
Aliciella hutchinsifolia KANU00237643,Aliciella hutchinsifolia,1,0.881,0.172,,,,,
Aliciella hutchinsifolia KANU00237643,Aliciella hutchinsifolia,2,0.916,0.161,,,,,
Aliciella hutchinsifolia KANU00237643,Aliciella hutchinsifolia,3,0.957,0.272,,,,,
Aliciella hutchinsifolia KANU00323745,Aliciella hutchinsifolia,1,0.739,0.144,,,,,
Aliciella hutchinsifolia KANU00323745,Aliciella hutchinsifolia,2,0.803,0.116,,,,,
Aliciella hutchinsifolia KANU00323745,Aliciella hutchinsifolia,3,0.609,0.085,,,,,
,Aliciella hutchinsifolia,,,,0.8175,0.128871641566327,0.158333333333333,0.0640145816721993,5.16315789473684
Aliciella latifolia KANU 00237676,Aliciella latifolia,1,0.568,0.114,,,,,
Aliciella latifolia KANU 00237676,Aliciella latifolia,2,0.544,0.11,,,,,
Aliciella latifolia KANU 00237676,Aliciella latifolia,3,0.544,0.103,,,,,
Aliciella latifolia KANU00237675,Aliciella latifolia,1,0.561,0.1,,,,,
Aliciella latifolia KANU00237675,Aliciella latifolia,2,0.6,0.104,,,,,
Aliciella latifolia KANU00237675,Aliciella latifolia,3,0.539,0.12,,,,,
Aliciella latifolia KANU00237677,Aliciella latifolia,1,0.56,0.086,,,,,
Aliciella latifolia KANU00237677,Aliciella latifolia,2,0.559,0.057,,,,,
Aliciella latifolia KANU00237677,Aliciella latifolia,3,0.529,0.073,,,,,
,Aliciella latifolia,,,,0.549583333333333,0.021453791075592,0.0930833333333333,0.0186910690065086,5.90420769919427
